data_name,one_dim,itrial,train_fraction,B,bootstrap_type,block_length,model_type,method,alpha,width,coverage
Solar_Atl,False,0,0.8,30,random,12,LassoCV,Ensemble,0.05,432.102719,0.9954339999999999
Solar_Atl,False,0,0.8,30,random,12,LassoCV,Ensemble,0.1,293.49949,0.972032
Solar_Atl,False,0,0.8,30,random,12,RidgeCV,Ensemble,0.05,431.94016799999997,0.9954339999999999
Solar_Atl,False,0,0.8,30,random,12,RidgeCV,Ensemble,0.1,293.541164,0.972032
Solar_Atl,False,0,0.8,30,random,12,RandomForestRegressor,Ensemble,0.05,412.808737,0.997717
Solar_Atl,False,0,0.8,30,random,12,RandomForestRegressor,Ensemble,0.1,323.099713,0.993151
Solar_Atl,False,0,0.8,30,random,24,LassoCV,Ensemble,0.05,432.102719,0.9954339999999999
Solar_Atl,False,0,0.8,30,random,24,LassoCV,Ensemble,0.1,293.49949,0.972032
Solar_Atl,False,0,0.8,30,random,24,RidgeCV,Ensemble,0.05,431.94016799999997,0.9954339999999999
Solar_Atl,False,0,0.8,30,random,24,RidgeCV,Ensemble,0.1,293.541164,0.972032
Solar_Atl,False,0,0.8,30,random,24,RandomForestRegressor,Ensemble,0.05,412.808737,0.997717
Solar_Atl,False,0,0.8,30,random,24,RandomForestRegressor,Ensemble,0.1,323.099713,0.993151
Solar_Atl,False,0,0.8,30,moving,6,LassoCV,Ensemble,0.05,431.05539899999997,0.9954339999999999
Solar_Atl,False,0,0.8,30,moving,6,LassoCV,Ensemble,0.1,295.16995099999997,0.973174
Solar_Atl,False,0,0.8,30,moving,6,RidgeCV,Ensemble,0.05,430.451126,0.9954339999999999
Solar_Atl,False,0,0.8,30,moving,6,RidgeCV,Ensemble,0.1,294.45473999999996,0.973174
Solar_Atl,False,0,0.8,30,moving,6,RandomForestRegressor,Ensemble,0.05,411.656543,0.997717
Solar_Atl,False,0,0.8,30,moving,6,RandomForestRegressor,Ensemble,0.1,327.035751,0.9925799999999999
Solar_Atl,False,0,0.8,30,moving,12,LassoCV,Ensemble,0.05,431.432077,0.9960049999999999
Solar_Atl,False,0,0.8,30,moving,12,LassoCV,Ensemble,0.1,296.36553699999996,0.9737439999999999
Solar_Atl,False,0,0.8,30,moving,12,RidgeCV,Ensemble,0.05,431.39390599999996,0.9960049999999999
Solar_Atl,False,0,0.8,30,moving,12,RidgeCV,Ensemble,0.1,296.082896,0.973174
Solar_Atl,False,0,0.8,30,moving,12,RandomForestRegressor,Ensemble,0.05,417.75776199999996,0.998288
Solar_Atl,False,0,0.8,30,moving,12,RandomForestRegressor,Ensemble,0.1,326.97274,0.993721
Solar_Atl,False,0,0.8,30,moving,24,LassoCV,Ensemble,0.05,432.351322,0.9960049999999999
Solar_Atl,False,0,0.8,30,moving,24,LassoCV,Ensemble,0.1,296.394118,0.972603
Solar_Atl,False,0,0.8,30,moving,24,RidgeCV,Ensemble,0.05,430.943223,0.9954339999999999
Solar_Atl,False,0,0.8,30,moving,24,RidgeCV,Ensemble,0.1,296.009686,0.973174
Solar_Atl,False,0,0.8,30,moving,24,RandomForestRegressor,Ensemble,0.05,418.895291,0.998288
Solar_Atl,False,0,0.8,30,moving,24,RandomForestRegressor,Ensemble,0.1,328.93449699999996,0.993151
Solar_Atl,False,0,0.8,30,circular,6,LassoCV,Ensemble,0.05,432.70091499999995,0.9954339999999999
Solar_Atl,False,0,0.8,30,circular,6,LassoCV,Ensemble,0.1,295.26860999999997,0.973174
Solar_Atl,False,0,0.8,30,circular,6,RidgeCV,Ensemble,0.05,432.327815,0.9954339999999999
Solar_Atl,False,0,0.8,30,circular,6,RidgeCV,Ensemble,0.1,294.71353,0.973174
Solar_Atl,False,0,0.8,30,circular,6,RandomForestRegressor,Ensemble,0.05,415.372871,0.997717
Solar_Atl,False,0,0.8,30,circular,6,RandomForestRegressor,Ensemble,0.1,324.945992,0.9925799999999999
Solar_Atl,False,0,0.8,30,circular,12,LassoCV,Ensemble,0.05,432.824507,0.9960049999999999
Solar_Atl,False,0,0.8,30,circular,12,LassoCV,Ensemble,0.1,295.935538,0.973174
Solar_Atl,False,0,0.8,30,circular,12,RidgeCV,Ensemble,0.05,432.288172,0.9954339999999999
Solar_Atl,False,0,0.8,30,circular,12,RidgeCV,Ensemble,0.1,295.660741,0.973174
Solar_Atl,False,0,0.8,30,circular,12,RandomForestRegressor,Ensemble,0.05,418.351348,0.998288
Solar_Atl,False,0,0.8,30,circular,12,RandomForestRegressor,Ensemble,0.1,325.817193,0.9925799999999999
Solar_Atl,False,0,0.8,30,circular,24,LassoCV,Ensemble,0.05,432.73053799999997,0.9954339999999999
Solar_Atl,False,0,0.8,30,circular,24,LassoCV,Ensemble,0.1,298.839197,0.973174
Solar_Atl,False,0,0.8,30,circular,24,RidgeCV,Ensemble,0.05,431.40746099999996,0.9954339999999999
Solar_Atl,False,0,0.8,30,circular,24,RidgeCV,Ensemble,0.1,296.839716,0.973174
Solar_Atl,False,0,0.8,30,circular,24,RandomForestRegressor,Ensemble,0.05,415.44116299999996,0.998288
Solar_Atl,False,0,0.8,30,circular,24,RandomForestRegressor,Ensemble,0.1,324.873289,0.993151
