data_name,one_dim,itrial,train_fraction,B,bootstrap_type,block_length,model_type,method,alpha,width,coverage
Solar_Atl,False,0,0.8001,30,nonoverlapping,6,RidgeCV,Ensemble,0.1,532.0,0.994289
Solar_Atl,False,0,0.8001,30,nonoverlapping,6,RidgeCV,Ensemble,0.15,344.0,0.950885
Solar_Atl,False,0,0.8001,30,nonoverlapping,6,RandomForestRegressor,Ensemble,0.05,736.0,1.0
Solar_Atl,False,0,0.8001,30,nonoverlapping,6,RandomForestRegressor,Ensemble,0.1,532.0,0.994289
Solar_Atl,False,0,0.8001,30,nonoverlapping,6,RandomForestRegressor,Ensemble,0.15,344.0,0.950885
Solar_Atl,False,0,0.8001,30,nonoverlapping,12,LassoCV,Ensemble,0.05,736.0,1.0
Solar_Atl,False,0,0.8001,30,nonoverlapping,12,LassoCV,Ensemble,0.1,532.0,0.994289
Solar_Atl,False,0,0.8001,30,nonoverlapping,12,LassoCV,Ensemble,0.15,344.0,0.950885
Solar_Atl,False,0,0.8001,30,nonoverlapping,12,RidgeCV,Ensemble,0.05,736.0,1.0
Solar_Atl,False,0,0.8001,30,nonoverlapping,12,RidgeCV,Ensemble,0.1,532.0,0.994289
Solar_Atl,False,0,0.8001,30,nonoverlapping,12,RidgeCV,Ensemble,0.15,344.0,0.950885
Solar_Atl,False,0,0.8001,30,nonoverlapping,12,RandomForestRegressor,Ensemble,0.05,736.0,1.0
Solar_Atl,False,0,0.8001,30,nonoverlapping,12,RandomForestRegressor,Ensemble,0.1,532.0,0.994289
Solar_Atl,False,0,0.8001,30,nonoverlapping,12,RandomForestRegressor,Ensemble,0.15,344.0,0.950885
Solar_Atl,False,0,0.8001,30,nonoverlapping,24,LassoCV,Ensemble,0.05,736.0,1.0
Solar_Atl,False,0,0.8001,30,nonoverlapping,24,LassoCV,Ensemble,0.1,532.0,0.994289
Solar_Atl,False,0,0.8001,30,nonoverlapping,24,LassoCV,Ensemble,0.15,344.0,0.950885
Solar_Atl,False,0,0.8001,30,nonoverlapping,24,RidgeCV,Ensemble,0.05,736.0,1.0
Solar_Atl,False,0,0.8001,30,nonoverlapping,24,RidgeCV,Ensemble,0.1,532.0,0.994289
Solar_Atl,False,0,0.8001,30,nonoverlapping,24,RidgeCV,Ensemble,0.15,344.0,0.950885
Solar_Atl,False,0,0.8001,30,nonoverlapping,24,RandomForestRegressor,Ensemble,0.05,736.0,1.0
Solar_Atl,False,0,0.8001,30,nonoverlapping,24,RandomForestRegressor,Ensemble,0.1,532.0,0.994289
Solar_Atl,False,0,0.8001,30,nonoverlapping,24,RandomForestRegressor,Ensemble,0.15,344.0,0.950885
